file,speed_mps,Tc_meas_s,Tc_theory_s,Tc_ratio,Tstar_s,regret_fixed_dB,Bc_MHz,srs_snr_dB,avg_win_ms,n_samples
20260925_1123_E005_NLOS_multi,unknown-rnti-0x4602,0.1,0.071,0.336,0.211,0.79,0.295,,10.7,40,159
20260925_1349_E005_NLOS_multi,40c00001a8,0.3,0.5561,0.112,4.965,1.2665,0.378,0.36,6.3,40,17313
20260925_1349_E005_NLOS_multi,40c00002f9,0.3,0.1487,0.112,1.328,1.295,0.187,8.64,9.8,40,260
20260925_1349_E005_NLOS_multi,40c00004a4,0.3,0.3108,0.112,2.775,0.0493,1.004,16.2,1.8,40,999
20260925_1349_E005_NLOS_multi,40c00004be,0.3,5.1213,0.112,45.726,0.0544,1.364,,3.0,40,3255
20260925_1349_E005_NLOS_multi,40c00005b7,0.3,0.3065,0.112,2.737,0.0698,2.012,,3.9,40,8971
20260925_1349_E005_NLOS_multi,40c00007f8,0.3,0.0868,0.112,0.775,0.122,1.543,,3.8,40,18979
20260925_1349_E005_NLOS_multi,unknown-rnti-0x4603,0.3,0.0604,0.112,0.539,0.79,0.302,15.84,9.4,40,159
20260925_1349_E005_NLOS_multi,unknown-rnti-0x4606,0.3,0.0228,0.112,0.204,0.0713,0.747,0.36,3.4,40,107
20260925_1409_E005_NLOS_multi,40c000016a,0.3,0.1986,0.112,1.773,0.0853,1.063,16.92,1.4,40,283
20260925_1409_E005_NLOS_multi,40c00002cf,0.3,8.6444,0.112,77.182,0.162,1.179,,6.2,40,2469
20260925_1409_E005_NLOS_multi,40c00003ae,0.3,0.072,0.112,0.643,0.1274,1.215,0.36,5.1,40,5490
20260925_1409_E005_NLOS_multi,40c0000440,0.3,0.0217,0.112,0.193,0.0513,0.69,0.36,2.3,40,62
20260925_1409_E005_NLOS_multi,40c00005b7,0.3,2.7184,0.112,24.271,20.215,0.111,3.6,9.0,40,4041
20260925_1409_E005_NLOS_multi,40c000062b,0.3,0.3784,0.112,3.379,0.0917,0.812,,4.1,40,1170
20260925_1409_E005_NLOS_multi,40c0000726,0.3,0.0328,0.112,0.293,0.1855,0.139,0.36,4.5,40,335
20260925_1409_E005_NLOS_multi,40c00007d5,0.3,0.4138,0.112,3.694,0.2101,0.766,,4.9,40,1472
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4603,0.3,0.0188,0.112,0.168,0.785,0.332,0.36,5.7,40,158
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4605,0.3,0.0367,0.112,0.328,0.0699,0.796,6.12,1.2,40,83
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4607,0.3,0.084,0.112,0.75,0.2045,0.5,0.36,5.3,40,160
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4676,0.3,0.0206,0.112,0.184,0.0925,0.605,0.36,3.7,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4677,0.3,0.02,0.112,0.178,0.1085,0.546,0.36,3.6,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4678,0.3,0.0217,0.112,0.194,0.0721,0.687,0.36,3.8,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x467c,0.3,0.0212,0.112,0.189,0.0923,0.865,0.36,3.9,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x467f,0.3,0.0211,0.112,0.189,0.0915,0.757,0.36,3.7,40,106
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4680,0.3,0.027,0.112,0.241,0.1141,0.788,0.36,3.6,40,106
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4685,0.3,0.0195,0.112,0.174,0.092,0.491,0.36,3.6,40,106
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4686,0.3,0.0195,0.112,0.174,0.469,0.421,0.36,3.9,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4687,0.3,0.0234,0.112,0.209,0.0915,0.505,0.36,3.5,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4688,0.3,0.0255,0.112,0.228,0.1154,0.447,0.36,3.4,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46a2,0.3,0.0176,0.112,0.157,0.0683,0.436,0.36,3.7,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46a4,0.3,0.0218,0.112,0.194,0.0704,0.146,0.36,3.8,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46a6,0.3,0.0313,0.112,0.28,0.1085,0.483,0.36,3.5,40,106
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46b7,0.3,0.0193,0.112,0.172,0.0511,0.429,0.36,3.7,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46b9,0.3,0.0211,0.112,0.189,0.1143,0.406,0.36,3.5,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46ba,0.3,0.019,0.112,0.17,0.1147,0.912,0.36,3.6,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46bc,0.3,0.0214,0.112,0.191,0.1283,0.37,0.36,4.0,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46bd,0.3,0.0224,0.112,0.2,0.0942,0.66,0.36,3.6,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46be,0.3,0.0212,0.112,0.189,0.126,0.582,0.36,3.6,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46c3,0.3,0.0185,0.112,0.165,0.1136,0.342,0.36,3.6,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46c5,0.3,0.0204,0.112,0.183,0.0706,0.397,0.36,3.7,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46d0,0.3,0.0198,0.112,0.177,0.2481,0.441,0.36,3.5,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46ee,0.3,0.0204,0.112,0.182,0.251,0.351,0.36,3.8,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x46fc,0.3,0.0185,0.112,0.166,0.0693,0.684,0.36,3.7,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4700,0.3,0.0217,0.112,0.194,0.0516,1.025,0.36,3.6,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4703,0.3,0.0194,0.112,0.173,0.1137,0.601,0.36,3.6,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x470a,0.3,0.0217,0.112,0.194,0.1648,0.126,0.36,3.8,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4719,0.3,0.018,0.112,0.161,0.0715,0.957,0.36,3.9,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x471a,0.3,0.024,0.112,0.214,0.0697,0.64,0.36,3.5,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4720,0.3,0.019,0.112,0.169,0.1128,1.014,0.36,3.5,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4739,0.3,0.0191,0.112,0.17,0.0713,0.408,0.36,3.7,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4744,0.3,0.0199,0.112,0.177,0.0927,0.914,0.36,3.7,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x474e,0.3,0.0177,0.112,0.158,0.1241,0.495,0.36,3.6,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x475d,0.3,0.0214,0.112,0.191,0.0497,0.639,0.36,3.8,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4777,0.3,0.0172,0.112,0.154,0.1107,0.453,0.36,3.8,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4794,0.3,0.0178,0.112,0.159,0.2201,0.499,0.36,3.7,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x479d,0.3,0.0177,0.112,0.158,0.0702,0.611,0.36,3.7,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47a6,0.3,0.0186,0.112,0.166,0.1131,0.681,0.36,3.5,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47a7,0.3,0.0217,0.112,0.193,0.0707,1.096,0.36,3.5,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47ae,0.3,0.0181,0.112,0.162,0.1116,0.628,0.36,3.6,40,106
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47b0,0.3,0.0213,0.112,0.19,0.4212,0.54,0.36,3.9,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47b1,0.3,0.0205,0.112,0.183,0.2732,0.51,0.36,3.9,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47b3,0.3,0.0195,0.112,0.174,0.0708,0.577,0.36,3.6,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47c0,0.3,0.0195,0.112,0.174,0.0907,0.5,0.36,3.8,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47c9,0.3,0.0182,0.112,0.163,0.1119,0.156,0.36,3.6,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47eb,0.3,0.0168,0.112,0.15,0.0508,0.803,0.36,3.9,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47ec,0.3,0.0192,0.112,0.171,0.0505,0.599,0.36,3.6,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47f1,0.3,0.0174,0.112,0.156,0.07,0.626,0.36,3.6,40,106
20260925_1409_E005_NLOS_multi,unknown-rnti-0x47f7,0.3,0.0195,0.112,0.174,0.1277,0.467,0.36,3.7,40,107
20260925_1409_E005_NLOS_multi,unknown-rnti-0x4805,0.3,0.0181,0.112,0.162,0.089,0.823,0.36,3.6,40,107
