file,seg,n,dur,gap,sigma,sep,flips,flip_pct,pick,life_min,regret,best_gain,best_fixed,regret_bf,meanP_RU0,meanP_RU1,meanP_RU2,meanP_RU3,geoM_RU0,geoM_RU1,geoM_RU2,geoM_RU3,std_RU0,std_RU1,std_RU2,std_RU3,argmax_RU0,argmax_RU1,argmax_RU2,argmax_RU3
/home/tud/OCUDU/datasets/20260721_1635_E01_behind_metalbox.jsonl,WHOLE (trimmed),2607,0.8686666666666665,2.9385797083669183,4.289024159448267,0.6851394627595038,1026,39.355581127733025,1,0.0,0.954496348339258,1.2963019573689758,1,0.954496348339258,-24.384572511974035,-23.961139458161654,-24.150115615585605,-24.964890468940514,-26.481479851518223,-26.100180628561912,-26.206391461470574,-26.979893008815605,4.321404355785498,4.3844061693968275,4.281355899548692,4.16893021306205,28.730341388569236,28.423475258918295,25.393172228615267,17.4530111238972
/home/tud/OCUDU/datasets/20260722_1124_E001.jsonl,WHOLE (trimmed),102159,34.62266666666667,1.432375122099576,2.481391795896002,0.577246658294186,4737,4.636889554517958,2,1.309333333333333,0.39079417514875475,0.6939194608419926,1,0.07754605334359596,-20.581194458572707,-19.64050958821839,-20.014491157628488,-20.887929843571044,-21.098957563473256,-20.21062687778854,-20.52387499959426,-21.4745417002931,2.3802884207991206,2.533898264230756,2.382069063984173,2.6293114345699564,4.601650368543153,85.95229005765522,9.005569749116574,0.44048982468504977
/home/tud/OCUDU/datasets/E002/20260722_1146_E002.jsonl,WHOLE (trimmed),16397,5.465333333333334,1.5123467418624972,1.08658100065187,1.3918398545117194,5650,34.457522717570285,0,0.009666666666666712,0.8769688286156797,0.776703001528604,3,0.24624889446467732,-32.770549329339204,-33.0819372524607,-32.61973806535381,-32.13699085411769,-32.89453101546943,-33.223459309683896,-32.79525934705709,-32.26381108131824,1.0356351525880838,1.090574254774182,1.196967452438904,1.02314714280631,27.913642739525525,2.738305787644081,12.337622735866317,57.01042873696408
/home/tud/OCUDU/datasets/E001/20260722_1228_E001.jsonl,WHOLE (trimmed),104021,34.67335,2.555524000521732,0.6760602521493018,3.7800240324694725,25509,24.522932869324464,3,1.1656666666666666,0.0461944817417224,1.2771554297876477,3,0.0461944817417224,-34.21163491546465,-34.593866239276956,-32.84205765604455,-32.242254711840275,-34.255835744693975,-34.64581704781061,-32.90289286713731,-32.293567289152904,0.6234193331050906,0.6732738654452274,0.732188138456801,0.6753596715900884,1.6708164697513004,0.026917641630055465,13.829899731784929,84.47236615683371
/home/tud/OCUDU/datasets/E003/20260722_1341_E003.jsonl,WHOLE (trimmed),95590,31.863016666666667,3.0895429791323945,1.2805293422666113,2.4127076804532446,7791,8.150434145831154,3,2.8986666666666663,0.07955234208569793,1.6960252804497407,3,0.07955234208569793,-33.18116891364639,-32.94658995888473,-32.063991935760384,-30.620587318331633,-33.38088164133368,-33.15020003549794,-32.2493778126389,-30.771522578671558,1.3450592231206095,1.3405935949106615,1.2678711100389815,1.1685934409961924,4.715974474317397,3.2356941102625796,2.8130557589706036,89.23527565644942
/home/tud/OCUDU/datasets/E004/20260722_1443_E004.jsonl,WHOLE (trimmed),148342,49.447,3.092596371040145,0.4919090696075821,6.286926918235616,40366,27.211443825754,0,0.007333333333333414,0.05173552794831667,1.3585910388931854,0,0.05173552794831667,-33.563065940402296,-34.127494853062316,-35.17763878000355,-36.57670214679144,-33.58281771916071,-34.15066013288745,-35.20842550207145,-36.61678956630217,0.41521548147007603,0.4495828921798331,0.5174076521907712,0.5854302525896479,83.3567027544458,16.278599452616252,0.3498671987704089,0.014830594167531786
/home/tud/OCUDU/datasets/E005-trial/20260722_1542_E005-trial.jsonl,WHOLE (trimmed),17297,9.5015,2.0166645553773535,6.150396959235574,0.3278917716602153,7826,45.24484014569,1,0.00033333333333285253,0.8218898586261175,0.9403306347151966,1,0.8218898586261175,-27.552514120395237,-27.056289751054493,-27.13259937823662,-27.933962809754842,-32.74095282949588,-32.409355638340486,-32.17135618973544,-32.789521000146834,6.23185940864619,6.354711692041283,6.0809664871020495,5.934050249152775,18.54656876915072,22.57038792854252,38.60206972307337,20.280973579233393
/home/tud/OCUDU/datasets/E100-/20260722_1603_E100-.jsonl,WHOLE (trimmed),24595,8.197999999999999,0.909140988449166,0.1607474655943659,5.65570962557702,11445,46.53384834315918,1,,0.033666937817058644,0.3904188618586059,1,0.033666937817058644,-20.64166684795749,-20.135717772901863,-20.181463829862064,-21.0107868574994,-20.644561836998772,-20.13867162526377,-20.18453564110119,-21.013925093857935,0.15751222601724552,0.15913663897432,0.16227097297237897,0.16407002441351912,0.04065867046147591,63.39906485057939,36.56027647895914,0.0
/home/tud/OCUDU/datasets/E100-/20260722_1622_E100-.jsonl,WHOLE (trimmed),41324,13.775066666666666,2.2618441768457105,6.3692550045588945,0.35511911129743745,15112,36.56954796244313,1,0.01399999999999979,0.742309197243138,1.004653255747001,2,0.648823801791347,-24.573600941856718,-23.844015497148746,-23.71723681112405,-24.36956392920618,-28.97086347163915,-28.432074451776156,-28.338589056324345,-29.036147061380696,6.2810112259741615,6.429902351361953,6.3770923911504775,6.389014049748986,19.683476914141902,26.093795373148776,38.48368986545349,15.739037847255833
/home/tud/OCUDU/datasets/E0002/20260820_1715_E0002.jsonl,WHOLE (trimmed),22760,7.5863,3.437091712409718,3.4379935870858374,0.9997376741249585,2231,9.802284710017576,2,0.014999999999999902,0.6155220413351745,1.450839327698616,2,0.6155220413351745,-20.63139896151916,-19.0890683987218,-18.953911230188574,-20.235318493962065,-21.84170047025186,-20.30023795475135,-20.060995919213997,-21.38231847809302,3.555933471717191,3.5426556264154527,3.281165336566264,3.3722199136444413,7.425307557117751,38.479789103690685,43.05360281195079,11.041300527240773
