dataset: /home/tud/OCUDU/datasets/E005-trial/20260722_1542_E005-trial.jsonl

user 0: 19392 samples, 831 segment(s)
  seg rnti    n      RU0:mean/10%out  RU1:mean/10%out  RU2:mean/10%out  RU3:mean/10%out
  246 0x4619     1   -37.9/ -37.9   -37.4/ -37.4   -37.2/ -37.2   -38.5/ -38.5
  247 0x461a     1   -40.8/ -40.8   -40.5/ -40.5   -41.0/ -41.0   -40.6/ -40.6
  248 0x4619     1   -38.2/ -38.2   -38.5/ -38.5   -37.3/ -37.3   -38.4/ -38.4
  249 0x461a     1   -40.7/ -40.7   -40.7/ -40.7   -40.6/ -40.6   -41.3/ -41.3
  250 0x4619     1   -37.7/ -37.7   -38.8/ -38.8   -37.2/ -37.2   -38.9/ -38.9
  251 0x461a     1   -40.6/ -40.6   -40.8/ -40.8   -41.0/ -41.0   -42.0/ -42.0
  252 0x4619     1   -38.4/ -38.4   -38.0/ -38.0   -36.9/ -36.9   -38.1/ -38.1
  253 0x461a     1   -40.7/ -40.7   -40.2/ -40.2   -40.2/ -40.2   -40.9/ -40.9
  254 0x4619     1   -38.8/ -38.8   -38.1/ -38.1   -38.1/ -38.1   -38.1/ -38.1
  255 0x461a     1   -41.6/ -41.6   -41.0/ -41.0   -41.0/ -41.0   -42.3/ -42.3
  256 0x4619     1   -38.1/ -38.1   -39.0/ -39.0   -37.8/ -37.8   -39.4/ -39.4
  257 0x461a     1   -40.7/ -40.7   -40.7/ -40.7   -41.2/ -41.2   -40.7/ -40.7
  258 0x4619     1   -38.2/ -38.2   -38.2/ -38.2   -38.2/ -38.2   -38.1/ -38.1
  259 0x461a     1   -41.0/ -41.0   -40.4/ -40.4   -39.9/ -39.9   -40.9/ -40.9
  260 0x4619     1   -37.1/ -37.1   -37.5/ -37.5   -38.1/ -38.1   -37.6/ -37.6
  261 0x461a     1   -40.2/ -40.2   -41.1/ -41.1   -40.0/ -40.0   -42.1/ -42.1
  262 0x4619     1   -38.3/ -38.3   -38.0/ -38.0   -37.5/ -37.5   -38.2/ -38.2
  263 0x461a     1   -41.4/ -41.4   -41.0/ -41.0   -40.5/ -40.5   -40.2/ -40.2
  264 0x4619     1   -38.5/ -38.5   -37.8/ -37.8   -36.3/ -36.3   -37.8/ -37.8
  265 0x461a     1   -41.4/ -41.4   -41.4/ -41.4   -40.2/ -40.2   -41.8/ -41.8
  266 0x4619     1   -38.2/ -38.2   -37.8/ -37.8   -37.7/ -37.7   -37.5/ -37.5
  267 0x461a     1   -41.6/ -41.6   -40.5/ -40.5   -40.2/ -40.2   -42.0/ -42.0
  268 0x4619     1   -38.0/ -38.0   -37.3/ -37.3   -36.8/ -36.8   -38.4/ -38.4
  269 0x461a     1   -41.4/ -41.4   -40.7/ -40.7   -40.3/ -40.3   -41.4/ -41.4
  270 0x4619     1   -38.2/ -38.2   -38.4/ -38.4   -37.9/ -37.9   -37.9/ -37.9
  271 0x461a     1   -41.5/ -41.5   -40.4/ -40.4   -40.9/ -40.9   -41.4/ -41.4
  272 0x4619     1   -38.3/ -38.3   -38.2/ -38.2   -38.9/ -38.9   -37.3/ -37.3
  273 0x461a     1   -40.0/ -40.0   -40.4/ -40.4   -40.9/ -40.9   -41.0/ -41.0
  274 0x4619     1   -38.3/ -38.3   -37.6/ -37.6   -35.8/ -35.8   -39.5/ -39.5
  275 0x461a     1   -41.0/ -41.0   -40.2/ -40.2   -39.8/ -39.8   -39.9/ -39.9
  276 0x4619     1   -38.9/ -38.9   -38.4/ -38.4   -36.3/ -36.3   -38.6/ -38.6
  277 0x461a     1   -41.4/ -41.4   -41.5/ -41.5   -39.5/ -39.5   -40.9/ -40.9
  278 0x4619     1   -37.6/ -37.6   -37.5/ -37.5   -37.9/ -37.9   -38.8/ -38.8
  279 0x461a     1   -40.2/ -40.2   -39.3/ -39.3   -40.3/ -40.3   -40.7/ -40.7
  280 0x4619     1   -38.5/ -38.5   -37.9/ -37.9   -37.5/ -37.5   -37.7/ -37.7
  281 0x461a     1   -40.2/ -40.2   -38.6/ -38.6   -39.6/ -39.6   -40.8/ -40.8
  282 0x4619     1   -38.4/ -38.4   -38.3/ -38.3   -37.3/ -37.3   -37.4/ -37.4
  283 0x461a     1   -39.6/ -39.6   -40.3/ -40.3   -39.9/ -39.9   -41.0/ -41.0
  284 0x4619     1   -37.8/ -37.8   -37.6/ -37.6   -37.7/ -37.7   -38.2/ -38.2
  285 0x461a     1   -41.9/ -41.9   -40.3/ -40.3   -40.8/ -40.8   -41.1/ -41.1
  286 0x4619     1   -39.1/ -39.1   -38.0/ -38.0   -37.1/ -37.1   -38.2/ -38.2
  287 0x461a     1   -41.5/ -41.5   -41.8/ -41.8   -40.0/ -40.0   -42.1/ -42.1
  288 0x4619     1   -38.0/ -38.0   -37.8/ -37.8   -38.8/ -38.8   -38.7/ -38.7
  289 0x461a     1   -41.5/ -41.5   -40.4/ -40.4   -41.1/ -41.1   -40.7/ -40.7
  290 0x4619     1   -38.7/ -38.7   -39.1/ -39.1   -37.2/ -37.2   -38.3/ -38.3
  291 0x461a     1   -41.7/ -41.7   -41.0/ -41.0   -41.4/ -41.4   -41.9/ -41.9
  292 0x4619     1   -37.9/ -37.9   -39.5/ -39.5   -37.1/ -37.1   -39.1/ -39.1
  293 0x461a     1   -41.5/ -41.5   -40.6/ -40.6   -41.6/ -41.6   -41.6/ -41.6
  294 0x4619     1   -38.0/ -38.0   -39.1/ -39.1   -37.7/ -37.7   -37.8/ -37.8
  295 0x461a     1   -41.2/ -41.2   -40.8/ -40.8   -40.8/ -40.8   -41.5/ -41.5
  296 0x4619     1   -38.1/ -38.1   -37.5/ -37.5   -38.0/ -38.0   -38.2/ -38.2
  297 0x461a    13   -41.1/ -40.8   -41.2/ -40.9   -40.9/ -40.5   -41.3/ -40.6
  298 0x461b     1   -41.3/ -41.3   -40.9/ -40.9   -39.9/ -39.9   -41.1/ -41.1
  299 0x461a     1   -41.0/ -41.0   -40.8/ -40.8   -39.5/ -39.5   -40.5/ -40.5
  300 0x461b     1   -40.5/ -40.5   -40.7/ -40.7   -41.0/ -41.0   -40.4/ -40.4
  301 0x461a     1   -41.0/ -41.0   -40.4/ -40.4   -40.4/ -40.4   -41.1/ -41.1
  302 0x461b     1   -40.9/ -40.9   -40.3/ -40.3   -39.9/ -39.9   -39.9/ -39.9
  303 0x461a     1   -41.5/ -41.5   -40.9/ -40.9   -40.7/ -40.7   -41.5/ -41.5
  304 0x461b     1   -40.8/ -40.8   -41.3/ -41.3   -39.6/ -39.6   -41.0/ -41.0
  305 0x461a     1   -41.6/ -41.6   -41.5/ -41.5   -41.2/ -41.2   -41.4/ -41.4
  306 0x461b     1   -40.4/ -40.4   -40.3/ -40.3   -40.2/ -40.2   -40.5/ -40.5
  307 0x461a     1   -42.4/ -42.4   -40.4/ -40.4   -40.7/ -40.7   -41.2/ -41.2
  308 0x461b     1   -40.0/ -40.0   -39.9/ -39.9   -39.2/ -39.2   -40.1/ -40.1
  309 0x461a     1   -40.4/ -40.4   -42.0/ -42.0   -40.6/ -40.6   -40.7/ -40.7
  310 0x461b     1   -40.4/ -40.4   -40.6/ -40.6   -40.1/ -40.1   -40.6/ -40.6
  311 0x461a     1   -40.5/ -40.5   -42.4/ -42.4   -41.1/ -41.1   -41.5/ -41.5
  312 0x461b     1   -41.3/ -41.3   -41.4/ -41.4   -41.1/ -41.1   -41.3/ -41.3
  313 0x461a     1   -41.1/ -41.1   -40.5/ -40.5   -40.7/ -40.7   -40.7/ -40.7
  314 0x461b     1   -40.8/ -40.8   -40.4/ -40.4   -40.6/ -40.6   -39.6/ -39.6
  315 0x461a     1   -41.0/ -41.0   -41.1/ -41.1   -41.3/ -41.3   -41.5/ -41.5
  316 0x461b     1   -40.9/ -40.9   -41.5/ -41.5   -39.7/ -39.7   -40.9/ -40.9
  317 0x461a     1   -41.1/ -41.1   -40.4/ -40.4   -41.4/ -41.4   -40.7/ -40.7
  318 0x461b     1   -41.5/ -41.5   -41.6/ -41.6   -41.7/ -41.7   -41.0/ -41.0
  319 0x461a     1   -41.5/ -41.5   -41.4/ -41.4   -40.8/ -40.8   -41.8/ -41.8
  320 0x461b     1   -41.2/ -41.2   -40.5/ -40.5   -40.6/ -40.6   -40.5/ -40.5
  321 0x461a     1   -40.7/ -40.7   -40.7/ -40.7   -41.1/ -41.1   -40.9/ -40.9
  322 0x461b     1   -41.0/ -41.0   -41.0/ -41.0   -40.7/ -40.7   -41.7/ -41.7
  323 0x461a     1   -40.9/ -40.9   -41.6/ -41.6   -40.9/ -40.9   -41.0/ -41.0
  324 0x461b     1   -41.3/ -41.3   -41.1/ -41.1   -40.6/ -40.6   -40.9/ -40.9
  325 0x461a     1   -41.9/ -41.9   -41.0/ -41.0   -40.8/ -40.8   -41.2/ -41.2
  326 0x461b     1   -40.5/ -40.5   -40.5/ -40.5   -39.4/ -39.4   -41.9/ -41.9
  327 0x461a     1   -41.4/ -41.4   -41.3/ -41.3   -40.2/ -40.2   -40.4/ -40.4
  328 0x461b     1   -40.7/ -40.7   -40.7/ -40.7   -40.5/ -40.5   -41.2/ -41.2
  329 0x461a     1   -41.5/ -41.5   -40.9/ -40.9   -41.3/ -41.3   -41.5/ -41.5
  330 0x461b     1   -40.3/ -40.3   -40.6/ -40.6   -40.2/ -40.2   -41.1/ -41.1
  331 0x461a     1   -41.1/ -41.1   -40.6/ -40.6   -41.3/ -41.3   -41.5/ -41.5
  332 0x461b     1   -41.0/ -41.0   -41.2/ -41.2   -40.6/ -40.6   -39.8/ -39.8
  333 0x461a     1   -41.6/ -41.6   -41.0/ -41.0   -40.6/ -40.6   -41.5/ -41.5
  334 0x461b     1   -41.2/ -41.2   -41.3/ -41.3   -40.0/ -40.0   -41.3/ -41.3
  335 0x461a     1   -41.3/ -41.3   -40.8/ -40.8   -41.2/ -41.2   -40.7/ -40.7
  336 0x461b     1   -42.0/ -42.0   -41.2/ -41.2   -40.5/ -40.5   -40.3/ -40.3
  337 0x461a     1   -41.4/ -41.4   -40.8/ -40.8   -40.8/ -40.8   -42.8/ -42.8
  338 0x461b     1   -40.7/ -40.7   -40.9/ -40.9   -41.0/ -41.0   -41.9/ -41.9
  339 0x461a     1   -41.2/ -41.2   -41.0/ -41.0   -40.2/ -40.2   -41.2/ -41.2
  340 0x461b     1   -41.9/ -41.9   -40.7/ -40.7   -39.6/ -39.6   -42.2/ -42.2
  341 0x461a     1   -41.7/ -41.7   -41.5/ -41.5   -40.3/ -40.3   -40.0/ -40.0
  342 0x461b     1   -40.8/ -40.8   -41.1/ -41.1   -40.3/ -40.3   -40.3/ -40.3
  343 0x461a     1   -41.6/ -41.6   -41.0/ -41.0   -40.3/ -40.3   -41.5/ -41.5
  344 0x461b     1   -41.0/ -41.0   -40.7/ -40.7   -40.1/ -40.1   -41.2/ -41.2
  345 0x461a     1   -42.2/ -42.2   -41.9/ -41.9   -40.4/ -40.4   -41.4/ -41.4
  346 0x461b     1   -41.2/ -41.2   -41.2/ -41.2   -40.4/ -40.4   -41.1/ -41.1
  347 0x461a     1   -41.6/ -41.6   -41.2/ -41.2   -40.9/ -40.9   -41.9/ -41.9
  348 0x461b     1   -37.6/ -37.6   -36.6/ -36.6   -36.6/ -36.6   -37.3/ -37.3
  349 0x461a     1   -40.7/ -40.7   -40.3/ -40.3   -41.1/ -41.1   -40.5/ -40.5
  350 0x461b     1   -37.6/ -37.6   -38.5/ -38.5   -36.2/ -36.2   -37.8/ -37.8
  351 0x461a     1   -42.6/ -42.6   -40.6/ -40.6   -41.9/ -41.9   -41.0/ -41.0
  352 0x461b     1   -37.5/ -37.5   -37.0/ -37.0   -36.1/ -36.1   -36.9/ -36.9
  353 0x461a     1   -41.4/ -41.4   -41.3/ -41.3   -40.7/ -40.7   -40.9/ -40.9
  354 0x461b     1   -37.7/ -37.7   -36.5/ -36.5   -36.5/ -36.5   -37.6/ -37.6
  355 0x461a     1   -41.2/ -41.2   -40.0/ -40.0   -40.5/ -40.5   -40.4/ -40.4
  356 0x461b     1   -37.1/ -37.1   -35.9/ -35.9   -36.7/ -36.7   -37.2/ -37.2
  357 0x461a     1   -40.5/ -40.5   -40.9/ -40.9   -40.7/ -40.7   -41.1/ -41.1
  358 0x461b     1   -36.4/ -36.4   -36.7/ -36.7   -35.9/ -35.9   -36.8/ -36.8
  359 0x461a     1   -41.3/ -41.3   -41.0/ -41.0   -40.6/ -40.6   -40.7/ -40.7
  360 0x461b     1   -36.4/ -36.4   -35.7/ -35.7   -36.0/ -36.0   -37.8/ -37.8
  361 0x461a     1   -41.2/ -41.2   -40.1/ -40.1   -40.7/ -40.7   -41.2/ -41.2
  362 0x461b     1   -36.6/ -36.6   -36.7/ -36.7   -37.0/ -37.0   -36.9/ -36.9
  363 0x461a     1   -41.9/ -41.9   -41.0/ -41.0   -40.2/ -40.2   -41.7/ -41.7
  364 0x461b     1   -36.5/ -36.5   -36.6/ -36.6   -35.5/ -35.5   -37.0/ -37.0
  365 0x461a     1   -41.1/ -41.1   -40.5/ -40.5   -40.8/ -40.8   -41.0/ -41.0
  366 0x461b     1   -37.5/ -37.5   -35.9/ -35.9   -35.0/ -35.0   -37.2/ -37.2
  367 0x461a     1   -41.5/ -41.5   -41.5/ -41.5   -40.7/ -40.7   -41.3/ -41.3
  368 0x461b     1   -36.2/ -36.2   -36.3/ -36.3   -36.4/ -36.4   -37.7/ -37.7
  369 0x461a     1   -41.2/ -41.2   -41.2/ -41.2   -39.9/ -39.9   -41.6/ -41.6
  370 0x461b     1   -37.0/ -37.0   -36.8/ -36.8   -36.6/ -36.6   -37.1/ -37.1
  371 0x461a     1   -40.6/ -40.6   -41.1/ -41.1   -40.1/ -40.1   -41.5/ -41.5
  372 0x461b     1   -36.2/ -36.2   -37.0/ -37.0   -37.6/ -37.6   -37.7/ -37.7
  373 0x461a     1   -41.9/ -41.9   -41.5/ -41.5   -41.2/ -41.2   -42.2/ -42.2
  374 0x461b   216   -37.3/ -36.2   -37.1/ -35.8   -36.5/ -35.2   -37.3/ -36.3
  375 0x461c  1079   -36.8/ -34.9   -36.5/ -34.8   -36.1/ -34.3   -36.9/ -35.2
  376 0x461d    48   -41.1/ -40.4   -40.9/ -40.3   -40.8/ -40.3   -41.1/ -40.4
  377 0x461e     1   -40.5/ -40.5   -40.7/ -40.7   -39.7/ -39.7   -40.9/ -40.9
  378 0x461d     1   -41.9/ -41.9   -41.4/ -41.4   -40.5/ -40.5   -41.5/ -41.5
  379 0x461e     1   -40.6/ -40.6   -41.6/ -41.6   -40.5/ -40.5   -41.0/ -41.0
  380 0x461d     1   -41.4/ -41.4   -40.6/ -40.6   -41.0/ -41.0   -41.2/ -41.2
  381 0x461e     1   -40.0/ -40.0   -41.3/ -41.3   -39.6/ -39.6   -41.5/ -41.5
  382 0x461d     1   -41.3/ -41.3   -40.8/ -40.8   -40.7/ -40.7   -41.4/ -41.4
  383 0x461e     1   -40.7/ -40.7   -41.7/ -41.7   -40.8/ -40.8   -41.4/ -41.4
  384 0x461d     1   -41.8/ -41.8   -41.4/ -41.4   -41.0/ -41.0   -41.2/ -41.2
  385 0x461e     1   -41.1/ -41.1   -41.0/ -41.0   -40.0/ -40.0   -41.3/ -41.3
  386 0x461d     1   -41.1/ -41.1   -40.9/ -40.9   -41.1/ -41.1   -41.9/ -41.9
  387 0x461e     1   -41.6/ -41.6   -41.6/ -41.6   -40.7/ -40.7   -41.0/ -41.0
  388 0x461d     1   -41.8/ -41.8   -41.5/ -41.5   -39.7/ -39.7   -40.9/ -40.9
  389 0x461e     1   -40.9/ -40.9   -41.0/ -41.0   -40.9/ -40.9   -41.5/ -41.5
  390 0x461d     1   -41.1/ -41.1   -39.8/ -39.8   -40.6/ -40.6   -41.2/ -41.2
  391 0x461e     1   -40.3/ -40.3   -41.3/ -41.3   -40.4/ -40.4   -42.1/ -42.1
  392 0x461d     1   -40.8/ -40.8   -40.8/ -40.8   -40.6/ -40.6   -40.6/ -40.6
  393 0x461e     1   -41.5/ -41.5   -41.0/ -41.0   -40.8/ -40.8   -41.2/ -41.2
  394 0x461d     1   -40.5/ -40.5   -40.5/ -40.5   -41.7/ -41.7   -40.4/ -40.4
  395 0x461e     1   -41.1/ -41.1   -41.0/ -41.0   -39.2/ -39.2   -41.5/ -41.5
  396 0x461d     1   -41.2/ -41.2   -41.1/ -41.1   -41.5/ -41.5   -41.2/ -41.2
  397 0x461e     1   -41.5/ -41.5   -41.3/ -41.3   -41.0/ -41.0   -41.1/ -41.1
  398 0x461d     1   -41.8/ -41.8   -41.0/ -41.0   -40.7/ -40.7   -40.9/ -40.9
  399 0x461e     1   -39.7/ -39.7   -40.6/ -40.6   -41.2/ -41.2   -41.3/ -41.3
  400 0x461d     1   -41.0/ -41.0   -40.9/ -40.9   -40.9/ -40.9   -41.2/ -41.2
  401 0x461e     1   -40.8/ -40.8   -40.2/ -40.2   -40.8/ -40.8   -39.7/ -39.7
  402 0x461d     1   -40.6/ -40.6   -41.8/ -41.8   -40.1/ -40.1   -40.9/ -40.9
  403 0x461e     1   -41.9/ -41.9   -41.1/ -41.1   -40.8/ -40.8   -42.1/ -42.1
  404 0x461d     1   -41.2/ -41.2   -40.1/ -40.1   -40.9/ -40.9   -40.3/ -40.3
  405 0x461e     1   -40.1/ -40.1   -41.0/ -41.0   -39.5/ -39.5   -41.0/ -41.0
  406 0x461d     1   -41.2/ -41.2   -41.2/ -41.2   -40.9/ -40.9   -41.0/ -41.0
  407 0x461e     1   -41.1/ -41.1   -41.3/ -41.3   -40.4/ -40.4   -41.4/ -41.4
  408 0x461d     1   -41.8/ -41.8   -39.7/ -39.7   -39.9/ -39.9   -40.8/ -40.8
  409 0x461e     1   -41.0/ -41.0   -41.7/ -41.7   -36.6/ -36.6   -40.7/ -40.7
  410 0x461d     1   -41.1/ -41.1   -40.6/ -40.6   -40.6/ -40.6   -41.3/ -41.3
  411 0x461e     1   -41.4/ -41.4   -41.8/ -41.8   -40.7/ -40.7   -41.2/ -41.2
  412 0x461d     1   -41.2/ -41.2   -41.5/ -41.5   -40.0/ -40.0   -41.2/ -41.2
  413 0x461e     1   -42.0/ -42.0   -41.5/ -41.5   -39.7/ -39.7   -41.3/ -41.3
  414 0x461d     1   -41.9/ -41.9   -41.3/ -41.3   -40.7/ -40.7   -40.9/ -40.9
  415 0x461e     1   -41.0/ -41.0   -40.7/ -40.7   -40.2/ -40.2   -42.2/ -42.2
  416 0x461d     1   -41.3/ -41.3   -41.1/ -41.1   -41.5/ -41.5   -40.8/ -40.8
  417 0x461e     1   -41.5/ -41.5   -41.3/ -41.3   -39.3/ -39.3   -41.7/ -41.7
  418 0x461d     1   -41.0/ -41.0   -41.0/ -41.0   -40.3/ -40.3   -40.8/ -40.8
  419 0x461e     1   -40.8/ -40.8   -41.2/ -41.2   -38.1/ -38.1   -40.9/ -40.9
  420 0x461d     1   -41.7/ -41.7   -40.7/ -40.7   -41.4/ -41.4   -40.9/ -40.9
  421 0x461e     1   -41.9/ -41.9   -41.6/ -41.6   -40.8/ -40.8   -41.4/ -41.4
  422 0x461d     1   -40.9/ -40.9   -41.3/ -41.3   -40.8/ -40.8   -39.8/ -39.8
  423 0x461e     1   -40.8/ -40.8   -40.5/ -40.5   -41.3/ -41.3   -40.5/ -40.5
  424 0x461d     1   -42.3/ -42.3   -42.0/ -42.0   -41.4/ -41.4   -40.5/ -40.5
  425 0x461e     1   -40.5/ -40.5   -40.1/ -40.1   -40.8/ -40.8   -40.4/ -40.4
  426 0x461d     1   -40.4/ -40.4   -40.7/ -40.7   -41.8/ -41.8   -40.6/ -40.6
  427 0x461e     1   -41.1/ -41.1   -39.4/ -39.4   -39.2/ -39.2   -40.8/ -40.8
  428 0x461d     1   -41.2/ -41.2   -40.7/ -40.7   -41.3/ -41.3   -40.6/ -40.6
  429 0x461e     1   -40.1/ -40.1   -41.0/ -41.0   -40.0/ -40.0   -40.3/ -40.3
  430 0x461d     1   -41.0/ -41.0   -41.3/ -41.3   -40.8/ -40.8   -41.5/ -41.5
  431 0x461e     1   -40.5/ -40.5   -41.4/ -41.4   -40.5/ -40.5   -40.6/ -40.6
  432 0x461d     1   -40.1/ -40.1   -40.5/ -40.5   -40.0/ -40.0   -39.9/ -39.9
  433 0x461e     1   -39.7/ -39.7   -40.3/ -40.3   -39.3/ -39.3   -40.6/ -40.6
  434 0x461d     1   -41.3/ -41.3   -41.2/ -41.2   -40.7/ -40.7   -41.5/ -41.5
  435 0x461e     1   -41.4/ -41.4   -41.5/ -41.5   -38.1/ -38.1   -41.5/ -41.5
  436 0x461d     1   -41.5/ -41.5   -40.5/ -40.5   -40.9/ -40.9   -40.5/ -40.5
  437 0x461e     1   -41.5/ -41.5   -40.8/ -40.8   -40.6/ -40.6   -40.1/ -40.1
  438 0x461d     1   -41.1/ -41.1   -40.7/ -40.7   -40.7/ -40.7   -40.6/ -40.6
  439 0x461e     1   -40.8/ -40.8   -40.5/ -40.5   -41.5/ -41.5   -40.9/ -40.9
  440 0x461d     1   -40.4/ -40.4   -41.6/ -41.6   -40.4/ -40.4   -41.2/ -41.2
  441 0x461e     1   -41.7/ -41.7   -41.3/ -41.3   -38.8/ -38.8   -41.4/ -41.4
  442 0x461d     1   -40.6/ -40.6   -41.4/ -41.4   -40.6/ -40.6   -42.1/ -42.1
  443 0x461e     1   -40.7/ -40.7   -40.8/ -40.8   -39.5/ -39.5   -40.6/ -40.6
  444 0x461d     1   -41.4/ -41.4   -40.2/ -40.2   -41.1/ -41.1   -42.6/ -42.6
  445 0x461e     1   -41.2/ -41.2   -40.3/ -40.3   -39.8/ -39.8   -41.0/ -41.0
  446 0x461d     1   -40.0/ -40.0   -40.7/ -40.7   -40.0/ -40.0   -40.7/ -40.7
  447 0x461e     1   -41.1/ -41.1   -39.3/ -39.3   -40.4/ -40.4   -40.8/ -40.8
  448 0x461d     1   -41.2/ -41.2   -40.6/ -40.6   -40.6/ -40.6   -42.2/ -42.2
  449 0x461e     1   -40.6/ -40.6   -41.1/ -41.1   -40.0/ -40.0   -41.8/ -41.8
  450 0x461d     1   -40.9/ -40.9   -41.6/ -41.6   -40.2/ -40.2   -41.2/ -41.2
  451 0x461e     1   -41.0/ -41.0   -41.4/ -41.4   -38.0/ -38.0   -41.9/ -41.9
  452 0x461d     1   -41.5/ -41.5   -43.0/ -43.0   -40.5/ -40.5   -41.4/ -41.4
  453 0x461e     1   -41.4/ -41.4   -41.7/ -41.7   -41.5/ -41.5   -39.8/ -39.8
  454 0x461d     1   -42.3/ -42.3   -40.3/ -40.3   -40.2/ -40.2   -41.4/ -41.4
  455 0x461e     1   -41.7/ -41.7   -41.5/ -41.5   -40.8/ -40.8   -41.3/ -41.3
  456 0x461d     1   -41.2/ -41.2   -41.0/ -41.0   -40.5/ -40.5   -40.4/ -40.4
  457 0x461e     1   -40.9/ -40.9   -40.8/ -40.8   -40.1/ -40.1   -41.6/ -41.6
  458 0x461d     1   -42.3/ -42.3   -41.4/ -41.4   -41.6/ -41.6   -41.6/ -41.6
  459 0x461e     1   -40.5/ -40.5   -41.4/ -41.4   -39.1/ -39.1   -41.6/ -41.6
  460 0x461d     1   -41.1/ -41.1   -41.7/ -41.7   -40.8/ -40.8   -40.9/ -40.9
  461 0x461e     1   -40.1/ -40.1   -40.2/ -40.2   -40.3/ -40.3   -41.8/ -41.8
  462 0x461d     1   -41.4/ -41.4   -40.9/ -40.9   -40.7/ -40.7   -40.5/ -40.5
  463 0x461e     1   -41.3/ -41.3   -41.1/ -41.1   -40.8/ -40.8   -40.6/ -40.6
  464 0x461d     1   -41.4/ -41.4   -40.2/ -40.2   -40.5/ -40.5   -40.2/ -40.2
  465 0x461e     1   -40.6/ -40.6   -40.0/ -40.0   -40.4/ -40.4   -40.9/ -40.9
  466 0x461d     1   -41.2/ -41.2   -40.7/ -40.7   -39.8/ -39.8   -41.2/ -41.2
  467 0x461e     1   -40.7/ -40.7   -41.3/ -41.3   -40.9/ -40.9   -42.1/ -42.1
  468 0x461d     1   -40.5/ -40.5   -43.0/ -43.0   -39.4/ -39.4   -41.0/ -41.0
  469 0x461e     1   -40.8/ -40.8   -41.1/ -41.1   -40.3/ -40.3   -40.1/ -40.1
  470 0x461d     1   -40.7/ -40.7   -40.7/ -40.7   -40.3/ -40.3   -41.0/ -41.0
  471 0x461e     1   -41.2/ -41.2   -41.5/ -41.5   -40.2/ -40.2   -41.5/ -41.5
  472 0x461f     1   -41.9/ -41.9   -42.2/ -42.2   -40.7/ -40.7   -40.4/ -40.4
  473 0x461d     1   -41.2/ -41.2   -40.5/ -40.5   -41.6/ -41.6   -40.8/ -40.8
  474 0x461e     1   -41.6/ -41.6   -40.6/ -40.6   -38.3/ -38.3   -41.5/ -41.5
  475 0x461f     1   -41.8/ -41.8   -41.3/ -41.3   -39.8/ -39.8   -42.0/ -42.0
  476 0x461d     1   -40.3/ -40.3   -41.4/ -41.4   -39.8/ -39.8   -40.4/ -40.4
  477 0x461e     1   -40.5/ -40.5   -40.5/ -40.5   -38.3/ -38.3   -40.7/ -40.7
  478 0x461f     1   -41.2/ -41.2   -41.4/ -41.4   -40.8/ -40.8   -41.1/ -41.1
  479 0x461d     1   -41.5/ -41.5   -41.6/ -41.6   -40.2/ -40.2   -41.2/ -41.2
  480 0x461e     1   -41.9/ -41.9   -41.6/ -41.6   -40.3/ -40.3   -40.5/ -40.5
  481 0x461f     1   -42.2/ -42.2   -40.7/ -40.7   -38.9/ -38.9   -41.0/ -41.0
  482 0x461d     1   -40.3/ -40.3   -40.2/ -40.2   -40.6/ -40.6   -40.9/ -40.9
  483 0x461e     1   -40.7/ -40.7   -40.8/ -40.8   -40.5/ -40.5   -41.1/ -41.1
  484 0x461f     1   -41.9/ -41.9   -40.1/ -40.1   -41.0/ -41.0   -41.4/ -41.4
  485 0x461d     1   -41.7/ -41.7   -40.9/ -40.9   -40.9/ -40.9   -40.8/ -40.8
  486 0x461e     1   -41.7/ -41.7   -41.3/ -41.3   -41.4/ -41.4   -40.9/ -40.9
  487 0x461f     1   -41.0/ -41.0   -40.8/ -40.8   -40.5/ -40.5   -41.4/ -41.4
  488 0x461d     1   -41.2/ -41.2   -40.7/ -40.7   -41.1/ -41.1   -41.9/ -41.9
  489 0x461e     1   -41.4/ -41.4   -40.4/ -40.4   -40.4/ -40.4   -40.8/ -40.8
  490 0x461f     1   -41.3/ -41.3   -40.4/ -40.4   -39.8/ -39.8   -40.3/ -40.3
  491 0x461d     1   -40.8/ -40.8   -41.4/ -41.4   -40.8/ -40.8   -41.6/ -41.6
  492 0x461e     1   -41.1/ -41.1   -41.4/ -41.4   -39.8/ -39.8   -41.6/ -41.6
  493 0x461f     1   -41.3/ -41.3   -41.0/ -41.0   -39.7/ -39.7   -41.3/ -41.3
  494 0x461d     1   -41.9/ -41.9   -41.9/ -41.9   -40.3/ -40.3   -42.1/ -42.1
  495 0x461e     1   -40.5/ -40.5   -41.4/ -41.4   -40.5/ -40.5   -40.9/ -40.9
  496 0x461f     1   -40.6/ -40.6   -41.3/ -41.3   -41.2/ -41.2   -41.1/ -41.1
  497 0x461d     1   -40.7/ -40.7   -41.2/ -41.2   -40.4/ -40.4   -41.8/ -41.8
  498 0x461e     1   -41.3/ -41.3   -40.0/ -40.0   -38.9/ -38.9   -40.9/ -40.9
  499 0x461f     1   -40.7/ -40.7   -41.2/ -41.2   -40.4/ -40.4   -41.1/ -41.1
  500 0x461d     1   -41.8/ -41.8   -41.0/ -41.0   -40.9/ -40.9   -41.2/ -41.2
  501 0x461e     1   -40.8/ -40.8   -40.6/ -40.6   -41.1/ -41.1   -41.7/ -41.7
  502 0x461f     1   -40.7/ -40.7   -40.1/ -40.1   -39.3/ -39.3   -40.5/ -40.5
