dataset: /home/tud/OCUDU/datasets/E005-trial/20260722_1542_E005-trial.jsonl

user 0: 19392 samples, 831 segment(s)
  seg rnti    n      RU0:mean/10%out  RU1:mean/10%out  RU2:mean/10%out  RU3:mean/10%out
   57 0x4604     1   -40.7/ -40.7   -39.7/ -39.7   -41.1/ -41.1   -42.4/ -42.4
   58 0x4603     1   -40.9/ -40.9   -41.3/ -41.3   -40.7/ -40.7   -41.1/ -41.1
   59 0x4604     1   -41.4/ -41.4   -40.8/ -40.8   -40.3/ -40.3   -41.2/ -41.2
   60 0x4603     1   -40.5/ -40.5   -40.9/ -40.9   -40.4/ -40.4   -40.9/ -40.9
   61 0x4604     1   -40.5/ -40.5   -39.8/ -39.8   -40.5/ -40.5   -41.5/ -41.5
   62 0x4603     1   -40.9/ -40.9   -40.7/ -40.7   -40.9/ -40.9   -40.8/ -40.8
   63 0x4604     1   -41.2/ -41.2   -40.4/ -40.4   -40.7/ -40.7   -41.0/ -41.0
   64 0x4603     1   -41.0/ -41.0   -41.4/ -41.4   -41.4/ -41.4   -40.7/ -40.7
   65 0x4604     1   -41.5/ -41.5   -40.2/ -40.2   -39.2/ -39.2   -40.7/ -40.7
   66 0x4603     1   -40.0/ -40.0   -40.3/ -40.3   -41.9/ -41.9   -40.6/ -40.6
   67 0x4604     1   -41.2/ -41.2   -40.3/ -40.3   -42.0/ -42.0   -41.0/ -41.0
   68 0x4603     1   -41.2/ -41.2   -41.9/ -41.9   -40.0/ -40.0   -41.7/ -41.7
   69 0x4604     1   -41.1/ -41.1   -40.9/ -40.9   -41.0/ -41.0   -40.9/ -40.9
   70 0x4603     1   -41.5/ -41.5   -40.7/ -40.7   -40.8/ -40.8   -40.5/ -40.5
   71 0x4604     1   -41.0/ -41.0   -40.5/ -40.5   -40.9/ -40.9   -42.0/ -42.0
   72 0x4603     1   -41.9/ -41.9   -40.1/ -40.1   -40.5/ -40.5   -41.0/ -41.0
   73 0x4604     1   -40.6/ -40.6   -40.3/ -40.3   -40.9/ -40.9   -41.4/ -41.4
   74 0x4603     1   -41.1/ -41.1   -41.2/ -41.2   -38.4/ -38.4   -41.8/ -41.8
   75 0x4604     1   -41.5/ -41.5   -40.7/ -40.7   -40.1/ -40.1   -40.2/ -40.2
   76 0x4603     1   -40.9/ -40.9   -40.4/ -40.4   -41.3/ -41.3   -41.3/ -41.3
   77 0x4604     1   -41.4/ -41.4   -41.5/ -41.5   -40.6/ -40.6   -41.2/ -41.2
   78 0x4603     1   -40.5/ -40.5   -40.8/ -40.8   -39.3/ -39.3   -40.9/ -40.9
   79 0x4604     1   -40.3/ -40.3   -40.5/ -40.5   -40.1/ -40.1   -40.6/ -40.6
   80 0x4603     1   -41.2/ -41.2   -41.2/ -41.2   -41.7/ -41.7   -42.2/ -42.2
   81 0x4604     1   -40.9/ -40.9   -42.0/ -42.0   -40.4/ -40.4   -41.1/ -41.1
   82 0x4603     1   -40.8/ -40.8   -41.1/ -41.1   -39.8/ -39.8   -40.3/ -40.3
   83 0x4604     1   -41.2/ -41.2   -41.4/ -41.4   -41.1/ -41.1   -40.8/ -40.8
   84 0x4603     1   -41.6/ -41.6   -41.1/ -41.1   -40.4/ -40.4   -42.1/ -42.1
   85 0x4604     1   -41.9/ -41.9   -40.9/ -40.9   -41.0/ -41.0   -40.8/ -40.8
   86 0x4603     1   -40.9/ -40.9   -41.2/ -41.2   -41.1/ -41.1   -40.8/ -40.8
   87 0x4604     1   -41.5/ -41.5   -41.5/ -41.5   -40.5/ -40.5   -41.0/ -41.0
   88 0x4603     1   -40.9/ -40.9   -41.4/ -41.4   -40.0/ -40.0   -41.3/ -41.3
   89 0x4604     1   -41.2/ -41.2   -41.3/ -41.3   -40.4/ -40.4   -40.6/ -40.6
   90 0x4603     1   -41.7/ -41.7   -41.2/ -41.2   -40.7/ -40.7   -41.3/ -41.3
   91 0x4604     1   -40.8/ -40.8   -40.6/ -40.6   -40.9/ -40.9   -41.0/ -41.0
   92 0x4603     1   -41.7/ -41.7   -41.8/ -41.8   -39.7/ -39.7   -41.0/ -41.0
   93 0x4604     1   -40.9/ -40.9   -41.1/ -41.1   -40.6/ -40.6   -41.6/ -41.6
   94 0x4603     1   -41.8/ -41.8   -41.0/ -41.0   -40.2/ -40.2   -41.6/ -41.6
   95 0x4604     1   -42.1/ -42.1   -41.0/ -41.0   -41.0/ -41.0   -41.1/ -41.1
   96 0x4603     1   -41.7/ -41.7   -41.0/ -41.0   -39.9/ -39.9   -41.2/ -41.2
   97 0x4604     1   -41.2/ -41.2   -40.7/ -40.7   -40.7/ -40.7   -41.7/ -41.7
   98 0x4603     1   -41.4/ -41.4   -40.2/ -40.2   -39.9/ -39.9   -40.8/ -40.8
   99 0x4604     1   -41.2/ -41.2   -40.4/ -40.4   -40.6/ -40.6   -41.3/ -41.3
  100 0x4603     1   -41.3/ -41.3   -41.8/ -41.8   -41.3/ -41.3   -40.4/ -40.4
  101 0x4604     1   -41.1/ -41.1   -40.3/ -40.3   -40.1/ -40.1   -41.5/ -41.5
  102 0x4603     1   -41.0/ -41.0   -41.3/ -41.3   -40.1/ -40.1   -40.9/ -40.9
  103 0x4604     1   -41.5/ -41.5   -39.4/ -39.4   -39.8/ -39.8   -40.2/ -40.2
  104 0x4603     1   -40.8/ -40.8   -41.8/ -41.8   -41.5/ -41.5   -41.5/ -41.5
  105 0x4604     1   -40.9/ -40.9   -41.8/ -41.8   -41.0/ -41.0   -41.3/ -41.3
  106 0x4603     1   -39.9/ -39.9   -40.8/ -40.8   -40.9/ -40.9   -41.4/ -41.4
  107 0x4604     1   -40.9/ -40.9   -40.1/ -40.1   -41.1/ -41.1   -41.6/ -41.6
  108 0x4603     1   -40.8/ -40.8   -41.1/ -41.1   -39.4/ -39.4   -41.1/ -41.1
  109 0x4604     1   -41.2/ -41.2   -40.5/ -40.5   -40.9/ -40.9   -41.7/ -41.7
  110 0x4603     1   -41.4/ -41.4   -41.6/ -41.6   -41.5/ -41.5   -39.8/ -39.8
  111 0x4604     1   -40.7/ -40.7   -41.0/ -41.0   -41.3/ -41.3   -41.9/ -41.9
  112 0x4603     1   -41.3/ -41.3   -40.8/ -40.8   -39.7/ -39.7   -40.7/ -40.7
  113 0x4604     1   -41.3/ -41.3   -41.3/ -41.3   -40.7/ -40.7   -41.0/ -41.0
  114 0x4603     1   -40.6/ -40.6   -41.3/ -41.3   -39.8/ -39.8   -40.7/ -40.7
  115 0x4604     1   -41.2/ -41.2   -40.5/ -40.5   -41.0/ -41.0   -41.2/ -41.2
  116 0x4603     1   -41.4/ -41.4   -41.5/ -41.5   -40.7/ -40.7   -41.1/ -41.1
  117 0x4604    57   -41.3/ -40.7   -40.9/ -40.2   -40.7/ -40.0   -41.2/ -40.6
  118 0x4605   325   -38.0/ -37.0   -37.7/ -36.6   -37.1/ -35.7   -37.9/ -36.9
  119 0x4608   874   -24.2/ -17.0   -23.7/ -16.4   -23.6/ -16.7   -24.3/ -17.9
  120 0x4609     1   -22.7/ -22.7   -23.4/ -23.4   -24.1/ -24.1   -24.0/ -24.0
  121 0x4608     1   -38.0/ -38.0   -38.0/ -38.0   -38.5/ -38.5   -38.3/ -38.3
  122 0x4609     1   -22.8/ -22.8   -23.3/ -23.3   -24.3/ -24.3   -24.3/ -24.3
  123 0x4608     1   -37.9/ -37.9   -37.8/ -37.8   -38.9/ -38.9   -37.6/ -37.6
  124 0x4609     1   -23.1/ -23.1   -23.5/ -23.5   -24.2/ -24.2   -24.2/ -24.2
  125 0x4608     1   -38.6/ -38.6   -37.6/ -37.6   -39.1/ -39.1   -37.1/ -37.1
  126 0x4609     1   -23.2/ -23.2   -23.5/ -23.5   -24.1/ -24.1   -24.1/ -24.1
  127 0x4608     1   -38.2/ -38.2   -37.3/ -37.3   -37.8/ -37.8   -38.3/ -38.3
  128 0x4609     1   -23.4/ -23.4   -23.6/ -23.6   -24.2/ -24.2   -24.1/ -24.1
  129 0x4608     1   -38.6/ -38.6   -37.1/ -37.1   -37.5/ -37.5   -38.1/ -38.1
  130 0x4609     1   -19.8/ -19.8   -18.9/ -18.9   -18.5/ -18.5   -19.4/ -19.4
  131 0x4608     1   -38.4/ -38.4   -38.3/ -38.3   -37.9/ -37.9   -37.1/ -37.1
  132 0x4609     1   -20.3/ -20.3   -19.4/ -19.4   -19.0/ -19.0   -20.1/ -20.1
  133 0x4608     1   -38.1/ -38.1   -37.1/ -37.1   -37.8/ -37.8   -38.1/ -38.1
  134 0x4609     1   -20.5/ -20.5   -19.6/ -19.6   -19.1/ -19.1   -19.9/ -19.9
  135 0x4608     1   -37.5/ -37.5   -37.4/ -37.4   -36.9/ -36.9   -38.7/ -38.7
  136 0x4609  1050   -28.5/ -20.9   -28.1/ -19.7   -28.1/ -19.7   -28.8/ -20.7
  137 0x460a    78   -38.6/ -37.3   -38.3/ -37.2   -38.2/ -36.9   -38.5/ -37.4
  138 0x4611    74   -41.1/ -40.4   -41.0/ -40.4   -40.2/ -39.5   -41.1/ -40.6
  139 0x4612     1   -40.9/ -40.9   -41.0/ -41.0   -41.3/ -41.3   -40.6/ -40.6
  140 0x4611     1   -40.5/ -40.5   -40.6/ -40.6   -40.7/ -40.7   -41.1/ -41.1
  141 0x4612     1   -41.4/ -41.4   -40.7/ -40.7   -40.8/ -40.8   -40.7/ -40.7
  142 0x4611     1   -41.0/ -41.0   -40.6/ -40.6   -40.8/ -40.8   -41.3/ -41.3
  143 0x4612     1   -41.5/ -41.5   -40.5/ -40.5   -40.4/ -40.4   -41.5/ -41.5
  144 0x4611     1   -41.6/ -41.6   -40.8/ -40.8   -41.6/ -41.6   -41.2/ -41.2
  145 0x4612     1   -41.5/ -41.5   -40.7/ -40.7   -40.3/ -40.3   -40.6/ -40.6
  146 0x4611     1   -41.2/ -41.2   -41.4/ -41.4   -41.3/ -41.3   -41.7/ -41.7
  147 0x4612     1   -40.5/ -40.5   -41.0/ -41.0   -40.4/ -40.4   -40.9/ -40.9
  148 0x4611     1   -41.1/ -41.1   -40.0/ -40.0   -39.8/ -39.8   -41.1/ -41.1
  149 0x4612     1   -40.5/ -40.5   -41.2/ -41.2   -40.0/ -40.0   -40.8/ -40.8
  150 0x4611     1   -40.7/ -40.7   -41.8/ -41.8   -41.5/ -41.5   -42.2/ -42.2
  151 0x4612     1   -41.3/ -41.3   -40.4/ -40.4   -40.9/ -40.9   -42.2/ -42.2
  152 0x4611     1   -41.7/ -41.7   -40.8/ -40.8   -39.6/ -39.6   -41.3/ -41.3
  153 0x4612     1   -41.4/ -41.4   -40.2/ -40.2   -40.2/ -40.2   -39.6/ -39.6
  154 0x4611     1   -40.4/ -40.4   -41.4/ -41.4   -40.5/ -40.5   -41.8/ -41.8
  155 0x4612     1   -42.0/ -42.0   -41.2/ -41.2   -40.6/ -40.6   -41.7/ -41.7
  156 0x4611     1   -41.0/ -41.0   -40.4/ -40.4   -40.7/ -40.7   -40.8/ -40.8
  157 0x4612     1   -40.4/ -40.4   -41.8/ -41.8   -40.8/ -40.8   -40.7/ -40.7
  158 0x4611     1   -41.3/ -41.3   -41.0/ -41.0   -39.7/ -39.7   -41.3/ -41.3
  159 0x4612     1   -41.8/ -41.8   -40.6/ -40.6   -40.6/ -40.6   -40.5/ -40.5
  160 0x4611     1   -40.9/ -40.9   -42.0/ -42.0   -39.7/ -39.7   -40.5/ -40.5
  161 0x4612     1   -41.9/ -41.9   -40.1/ -40.1   -39.6/ -39.6   -40.7/ -40.7
  162 0x4611     1   -40.5/ -40.5   -40.9/ -40.9   -39.9/ -39.9   -40.2/ -40.2
  163 0x4612     1   -40.6/ -40.6   -40.3/ -40.3   -41.1/ -41.1   -40.8/ -40.8
  164 0x4611     1   -41.5/ -41.5   -41.4/ -41.4   -40.7/ -40.7   -41.4/ -41.4
  165 0x4612     1   -41.7/ -41.7   -41.3/ -41.3   -40.2/ -40.2   -41.2/ -41.2
  166 0x4611     1   -41.0/ -41.0   -41.3/ -41.3   -40.9/ -40.9   -41.0/ -41.0
  167 0x4612     1   -40.5/ -40.5   -40.0/ -40.0   -40.1/ -40.1   -41.1/ -41.1
  168 0x4611     1   -41.4/ -41.4   -41.3/ -41.3   -41.8/ -41.8   -41.5/ -41.5
  169 0x4612     1   -40.9/ -40.9   -40.5/ -40.5   -40.7/ -40.7   -40.7/ -40.7
  170 0x4611     1   -41.2/ -41.2   -40.1/ -40.1   -38.7/ -38.7   -40.8/ -40.8
  171 0x4612     1   -41.6/ -41.6   -41.4/ -41.4   -40.9/ -40.9   -41.3/ -41.3
  172 0x4611     1   -42.0/ -42.0   -40.9/ -40.9   -41.3/ -41.3   -40.1/ -40.1
  173 0x4612     1   -41.4/ -41.4   -40.6/ -40.6   -41.3/ -41.3   -41.2/ -41.2
  174 0x4611     1   -41.2/ -41.2   -40.9/ -40.9   -40.0/ -40.0   -41.5/ -41.5
  175 0x4612     1   -41.4/ -41.4   -41.5/ -41.5   -41.6/ -41.6   -40.9/ -40.9
  176 0x4611     1   -41.1/ -41.1   -40.3/ -40.3   -40.2/ -40.2   -41.2/ -41.2
  177 0x4612     1   -40.8/ -40.8   -40.8/ -40.8   -41.3/ -41.3   -40.2/ -40.2
  178 0x4611     1   -40.8/ -40.8   -40.5/ -40.5   -41.1/ -41.1   -41.7/ -41.7
  179 0x4612     1   -41.1/ -41.1   -40.9/ -40.9   -40.7/ -40.7   -41.3/ -41.3
  180 0x4611     1   -40.2/ -40.2   -40.1/ -40.1   -38.7/ -38.7   -40.9/ -40.9
  181 0x4612     1   -41.4/ -41.4   -40.8/ -40.8   -40.6/ -40.6   -40.7/ -40.7
  182 0x4611     1   -42.2/ -42.2   -40.8/ -40.8   -39.9/ -39.9   -41.7/ -41.7
  183 0x4612     1   -41.3/ -41.3   -41.0/ -41.0   -41.6/ -41.6   -41.6/ -41.6
  184 0x4611     1   -41.4/ -41.4   -41.0/ -41.0   -39.6/ -39.6   -40.8/ -40.8
  185 0x4612     1   -40.9/ -40.9   -41.2/ -41.2   -40.5/ -40.5   -40.8/ -40.8
  186 0x4611     1   -40.9/ -40.9   -42.1/ -42.1   -39.4/ -39.4   -40.8/ -40.8
  187 0x4612     1   -40.8/ -40.8   -41.3/ -41.3   -41.8/ -41.8   -41.2/ -41.2
  188 0x4611     1   -40.5/ -40.5   -40.6/ -40.6   -40.0/ -40.0   -40.9/ -40.9
  189 0x4612     1   -41.3/ -41.3   -41.7/ -41.7   -41.5/ -41.5   -41.0/ -41.0
  190 0x4611     1   -41.4/ -41.4   -40.8/ -40.8   -39.6/ -39.6   -39.9/ -39.9
  191 0x4612     1   -41.0/ -41.0   -40.6/ -40.6   -40.8/ -40.8   -41.9/ -41.9
  192 0x4611     1   -41.8/ -41.8   -41.2/ -41.2   -40.8/ -40.8   -40.4/ -40.4
  193 0x4612     1   -41.3/ -41.3   -40.8/ -40.8   -40.5/ -40.5   -41.1/ -41.1
  194 0x4611     1   -40.9/ -40.9   -39.9/ -39.9   -39.6/ -39.6   -41.4/ -41.4
  195 0x4612     1   -40.6/ -40.6   -40.6/ -40.6   -41.7/ -41.7   -41.2/ -41.2
  196 0x4611     1   -41.8/ -41.8   -40.9/ -40.9   -39.4/ -39.4   -41.3/ -41.3
  197 0x4612     1   -40.7/ -40.7   -42.1/ -42.1   -39.5/ -39.5   -41.3/ -41.3
  198 0x4611     1   -41.3/ -41.3   -41.4/ -41.4   -40.6/ -40.6   -41.0/ -41.0
  199 0x4612     1   -41.1/ -41.1   -40.6/ -40.6   -41.4/ -41.4   -40.7/ -40.7
  200 0x4611     1   -40.6/ -40.6   -41.3/ -41.3   -39.0/ -39.0   -41.2/ -41.2
  201 0x4612     1   -41.9/ -41.9   -40.7/ -40.7   -41.3/ -41.3   -41.3/ -41.3
  202 0x4611     1   -41.0/ -41.0   -40.7/ -40.7   -40.3/ -40.3   -41.1/ -41.1
  203 0x4612     1   -41.6/ -41.6   -41.5/ -41.5   -40.7/ -40.7   -41.8/ -41.8
  204 0x4611     1   -40.6/ -40.6   -40.4/ -40.4   -40.5/ -40.5   -41.9/ -41.9
  205 0x4612    73   -41.2/ -40.5   -41.0/ -40.5   -40.7/ -40.1   -41.0/ -40.4
  206 0x4613  1062   -29.8/ -22.4   -29.5/ -22.2   -29.4/ -22.2   -30.2/ -23.0
  207 0x4614  5360   -27.9/ -22.2   -27.4/ -21.7   -27.5/ -21.8   -28.3/ -22.9
  208 0x4615   769   -37.3/ -35.7   -37.1/ -35.5   -36.5/ -35.0   -37.3/ -36.0
  209 0x4616     1   -40.0/ -40.0   -39.8/ -39.8   -40.6/ -40.6   -41.0/ -41.0
  210 0x4615     1   -37.6/ -37.6   -37.4/ -37.4   -36.8/ -36.8   -38.8/ -38.8
  211 0x4616     1   -39.8/ -39.8   -41.6/ -41.6   -40.1/ -40.1   -41.2/ -41.2
  212 0x4615     1   -38.1/ -38.1   -37.8/ -37.8   -36.9/ -36.9   -37.6/ -37.6
  213 0x4616     1   -40.2/ -40.2   -41.0/ -41.0   -39.7/ -39.7   -40.2/ -40.2
  214 0x4615     1   -37.9/ -37.9   -38.0/ -38.0   -37.5/ -37.5   -37.7/ -37.7
  215 0x4616     1   -40.2/ -40.2   -40.4/ -40.4   -40.3/ -40.3   -41.3/ -41.3
  216 0x4615     1   -38.1/ -38.1   -37.6/ -37.6   -37.2/ -37.2   -37.5/ -37.5
  217 0x4616     1   -40.3/ -40.3   -41.2/ -41.2   -40.8/ -40.8   -41.8/ -41.8
  218 0x4615     1   -38.3/ -38.3   -38.1/ -38.1   -36.2/ -36.2   -37.8/ -37.8
  219 0x4616     1   -41.1/ -41.1   -40.9/ -40.9   -41.6/ -41.6   -41.2/ -41.2
  220 0x4615     1   -37.7/ -37.7   -38.5/ -38.5   -36.9/ -36.9   -38.4/ -38.4
  221 0x4616     1   -36.3/ -36.3   -37.2/ -37.2   -37.3/ -37.3   -36.0/ -36.0
  222 0x4615     1   -37.5/ -37.5   -37.7/ -37.7   -38.0/ -38.0   -37.3/ -37.3
  223 0x4616     1   -32.1/ -32.1   -33.7/ -33.7   -33.8/ -33.8   -33.8/ -33.8
  224 0x4615     1   -37.8/ -37.8   -38.3/ -38.3   -37.1/ -37.1   -38.3/ -38.3
  225 0x4616     1   -33.1/ -33.1   -34.1/ -34.1   -33.9/ -33.9   -33.8/ -33.8
  226 0x4615     1   -38.5/ -38.5   -38.2/ -38.2   -36.8/ -36.8   -38.7/ -38.7
  227 0x4616  1616   -35.8/ -33.1   -35.6/ -33.0   -35.5/ -32.9   -36.0/ -33.7
  228 0x4617   321   -37.1/ -35.7   -36.9/ -35.7   -36.2/ -35.2   -36.5/ -35.4
  229 0x4618  2787   -37.2/ -35.7   -36.9/ -35.2   -36.2/ -34.8   -36.2/ -35.2
  230 0x4619   774   -37.3/ -35.6   -37.1/ -35.4   -36.6/ -35.1   -37.4/ -36.2
  231 0x461a     1   -41.0/ -41.0   -41.0/ -41.0   -39.5/ -39.5   -40.4/ -40.4
  232 0x4619     1   -38.0/ -38.0   -36.9/ -36.9   -37.1/ -37.1   -38.3/ -38.3
  233 0x461a     1   -40.1/ -40.1   -40.7/ -40.7   -39.9/ -39.9   -40.4/ -40.4
  234 0x4619     1   -37.6/ -37.6   -38.5/ -38.5   -37.0/ -37.0   -37.7/ -37.7
  235 0x461a     1   -40.6/ -40.6   -40.7/ -40.7   -40.3/ -40.3   -40.5/ -40.5
  236 0x4619     1   -37.8/ -37.8   -38.8/ -38.8   -37.8/ -37.8   -37.5/ -37.5
  237 0x461a     1   -40.6/ -40.6   -39.5/ -39.5   -40.2/ -40.2   -40.3/ -40.3
  238 0x4619     1   -37.7/ -37.7   -38.2/ -38.2   -37.2/ -37.2   -38.2/ -38.2
  239 0x461a     1   -40.7/ -40.7   -41.6/ -41.6   -40.8/ -40.8   -41.5/ -41.5
  240 0x4619     1   -39.1/ -39.1   -38.8/ -38.8   -37.8/ -37.8   -38.7/ -38.7
  241 0x461a     1   -41.9/ -41.9   -40.3/ -40.3   -40.3/ -40.3   -42.2/ -42.2
  242 0x4619     1   -38.1/ -38.1   -37.5/ -37.5   -37.8/ -37.8   -37.9/ -37.9
  243 0x461a     1   -40.0/ -40.0   -41.3/ -41.3   -41.1/ -41.1   -41.6/ -41.6
  244 0x4619     1   -38.2/ -38.2   -38.0/ -38.0   -37.4/ -37.4   -39.1/ -39.1
  245 0x461a     1   -41.1/ -41.1   -41.5/ -41.5   -40.2/ -40.2   -41.3/ -41.3
