dataset: /home/tud/OCUDU/datasets/E0001/20260820_1659_E0001.jsonl

user 0: 3050 samples, 12 segment(s)
  seg rnti    n      RU0:mean/10%out  RU1:mean/10%out  RU2:mean/10%out  RU3:mean/10%out
    0 0x4601   818   -22.2/ -17.7   -20.7/ -16.2   -20.5/ -16.3   -22.1/ -17.3
    1 0x4602     1   -26.4/ -26.4   -23.2/ -23.2   -25.7/ -25.7   -34.0/ -34.0
    2 0x4601     1   -39.2/ -39.2   -38.7/ -38.7   -37.2/ -37.2   -38.5/ -38.5
    3 0x4602     1   -35.0/ -35.0   -31.7/ -31.7   -33.2/ -33.2   -37.9/ -37.9
    4 0x4601     1   -37.7/ -37.7   -38.5/ -38.5   -36.4/ -36.4   -38.7/ -38.7
    5 0x4602     1   -35.6/ -35.6   -31.6/ -31.6   -33.0/ -33.0   -37.1/ -37.1
    6 0x4601     1   -37.6/ -37.6   -37.1/ -37.1   -37.3/ -37.3   -36.4/ -36.4
    7 0x4602     1   -21.2/ -21.2   -20.2/ -20.2   -19.2/ -19.2   -20.2/ -20.2
    8 0x4601     1   -38.9/ -38.9   -38.1/ -38.1   -36.4/ -36.4   -39.2/ -39.2
    9 0x4602     1   -16.8/ -16.8   -15.8/ -15.8   -14.8/ -14.8   -15.5/ -15.5
   10 0x4601     1   -38.5/ -38.5   -37.8/ -37.8   -35.3/ -35.3   -38.1/ -38.1
   11 0x4602  2222   -20.6/ -17.5   -18.9/ -15.9   -18.7/ -15.6   -20.2/ -16.8
